,UUID,HOSTNAME,ALIAS,TIMESTAMP,STREAMS,PACING,THROUGHPUT (Sender),THROUGHPUT (Receiver),LATENCY (min.),LATENCY (max.),LATENCY (mean),RETRANSMITS,CONGESTION (Sender),CONGESTION (Receiver),BYTES (Receiver)
10,dbc54d65-349a-43d0-97f2-1738eee31823,10.201.1.2,hostB,2021-06-28T20:40:34.618Z,1,3gbit,231431971.08004817,225092913.01951116,50138.0,50531.0,50276.5,20,cubic,cubic,1691024296
11,28b35546-70ab-4958-b6dc-9ffe4e056fa9,10.201.1.2,hostB,2021-06-28T20:41:48.081Z,1,4gbit,221437098.79964706,216267675.36119783,50145.0,51004.5,50333.5,26,cubic,cubic,1624728564
12,08e9bb60-6e17-497f-bc14-721e9c0c9871,10.201.1.2,hostB,2021-06-28T20:43:01.537Z,1,5gbit,194757046.705101,192873110.480379,50132.0,50619.0,50291.5,21,cubic,cubic,1448971948
13,32f460b6-2800-4e92-b038-35f34698aa5c,10.201.1.2,hostB,2021-06-28T20:44:14.994Z,1,6gbit,277219579.44457084,271546094.8311067,50134.5,50686.5,50274.0,22,cubic,cubic,2040005244
14,ca40626e-97d4-4e70-8597-0268740be6fd,10.201.1.2,hostC,2021-06-28T20:45:29.284Z,1,1gbit,990975052.1395354,987424295.7589895,21380.0,21484.5,21428.5,0,cubic,cubic,7410675376
15,071be26d-0dff-4073-b30c-9075a6321d33,10.201.1.2,hostC,2021-06-28T20:46:42.142Z,1,2gbit,1979613921.069544,1972270444.085745,21417.0,21489.0,21451.0,0,cubic,cubic,14802134984
16,fcb740c3-03b8-47be-a9c9-5ef5387339b7,10.201.1.2,hostC,2021-06-28T20:47:55.000Z,1,3gbit,2966973301.621359,2956038343.375736,21410.5,21577.0,21491.5,0,cubic,cubic,22185219264
17,d6f9168c-36f9-4ed6-907b-ee8053e4c65c,10.201.1.2,hostC,2021-06-28T20:49:07.858Z,1,4gbit,3955619113.745937,3940863636.7315674,21493.5,21726.0,21576.0,0,cubic,cubic,29576598340
18,c8d9b36e-a06d-405b-bcf7-ddad1589fcc5,10.201.1.2,hostC,2021-06-28T20:50:20.711Z,1,5gbit,4941775046.527064,4923254849.226116,21716.5,21937.0,21823.5,0,cubic,cubic,36949562432
19,8c818c27-9622-4771-b578-abc0c9269850,10.201.1.2,hostC,2021-06-28T20:51:33.565Z,1,6gbit,5927789803.03472,5905835563.804377,21648.5,21840.5,21773.5,0,cubic,cubic,44323964004
20,9c86df16-6913-4442-96b3-7845ed743526,10.201.1.2,hostA,2021-06-28T20:52:48.268Z,4,1gbit,989583794.7894394,984198788.572633,31404.0,31502.0,31450.5,0,cubic,cubic,7388940684
21,4ee2a0ef-24d9-4074-85bc-69e6df516f10,10.201.1.2,hostA,2021-06-28T20:54:01.567Z,4,2gbit,1975769600.6726394,1965283271.1316464,31431.5,31521.0,31481.0,0,cubic,cubic,14754495832
22,a02a6a11-bdee-4989-8656-a105ff4a1694,10.201.1.2,hostA,2021-06-28T20:55:14.856Z,4,3gbit,2324733068.88074,2311363564.88778,31580.5,31715.5,31650.0,0,cubic,cubic,17353576652
23,1b9aaabc-33d8-42e8-af97-5e062aa42d87,10.201.1.2,hostA,2021-06-28T20:56:28.143Z,4,4gbit,2319651664.99778,2306629587.2815957,31627.5,31791.5,31694.0,0,cubic,cubic,17317924672
24,12b6f72b-00f7-4b38-818d-b50bbf11a899,10.201.1.2,hostA,2021-06-28T20:57:41.430Z,4,5gbit,2799376458.2526674,2783430160.330856,31725.5,31912.0,31816.0,0,cubic,cubic,20898031568
25,6b59fde1-8296-4a84-bb7e-3129576e88c9,10.201.1.2,hostA,2021-06-28T20:58:54.720Z,4,6gbit,2410554952.600362,2397447344.9817967,31576.5,31793.0,31685.0,0,cubic,cubic,17999863848
26,d2659e3d-582d-4a65-b384-381abb4453de,10.201.1.2,hostB,2021-06-28T21:00:09.995Z,4,1gbit,259618217.0838824,250911985.60276765,50140.0,51399.5,50322.5,18,cubic,cubic,1884990092
27,d12bbf9c-5fdb-4c5d-9dbf-009def72ad19,10.201.1.2,hostB,2021-06-28T21:01:23.794Z,4,2gbit,348348151.1706136,331594204.66564167,50133.5,51319.5,50278.0,24,cubic,cubic,2491118664
28,ad635bac-3142-4439-9064-ef7667fff154,10.201.1.2,hostB,2021-06-28T21:02:37.572Z,4,3gbit,342621958.12193924,317199619.3110064,50122.5,52346.5,50370.0,23,cubic,cubic,2382982084
29,55860fff-a9de-4ef0-88b2-42696399b05d,10.201.1.2,hostB,2021-06-28T21:03:51.357Z,4,4gbit,227113065.8341701,223406797.671848,50141.0,50549.0,50279.5,19,cubic,cubic,1678353928
30,7301a6f7-c380-44a5-8f50-a2ac20614590,10.201.1.2,hostB,2021-06-28T21:05:05.153Z,4,5gbit,299114570.7357819,283327267.8596595,50131.5,50922.0,50399.0,26,cubic,cubic,2128509912
31,8e93740b-09bc-4cfc-a32d-87c8970f24de,10.201.1.2,hostB,2021-06-28T21:06:18.932Z,4,6gbit,286507092.5111696,271241315.62612426,50132.5,51010.5,50319.0,22,cubic,cubic,2037714556
32,06c2a8c5-087d-485f-b8dd-579227818655,10.201.1.2,hostC,2021-06-28T21:07:33.389Z,4,1gbit,990849813.282665,987209178.3624144,21393.5,21514.0,21463.0,0,cubic,cubic,7409046840
33,646f81fa-3455-458b-a06d-51233cf6fa29,10.201.1.2,hostC,2021-06-28T21:08:46.377Z,4,2gbit,1980478020.1961575,1973456627.0472848,21449.5,21524.0,21487.0,0,cubic,cubic,14810930868
34,40354a80-32da-4dab-b5b5-c8f8eb05044f,10.201.1.2,hostC,2021-06-28T21:09:59.370Z,4,3gbit,2416345641.17371,2407296972.87166,21559.0,21682.5,21607.5,0,cubic,cubic,18067689688
35,f059a29e-e9aa-4df4-8e98-a2605083018d,10.201.1.2,hostC,2021-06-28T21:11:12.352Z,4,4gbit,2625491512.2305818,2615481256.365798,21579.0,21749.0,21665.0,0,cubic,cubic,19630341564
36,204edb63-eca7-4581-ab82-1da7e87317d8,10.201.1.2,hostC,2021-06-28T21:12:25.338Z,4,5gbit,2617988278.480342,2608051605.204728,21583.5,21794.0,21674.5,0,cubic,cubic,19574586576
37,1e7dc443-5644-4f9c-9083-6ef9458e20bf,10.201.1.2,hostC,2021-06-28T21:13:38.327Z,4,6gbit,1548042346.8165562,1541984324.8252068,21609.5,21810.5,21700.0,0,cubic,cubic,11573213392
38,238dd798-d0bc-45d2-bf57-376b001779b4,10.201.1.2,hostA,2021-06-28T21:14:52.837Z,1,1gbit,972859655.3920974,961948966.151798,30154.0,30937.5,30598.0,0,bbr2,bbr2,7221881524
39,0ca152b5-321c-4695-bd5a-9dc4236c0adb,10.201.1.2,hostA,2021-06-28T21:16:05.895Z,1,2gbit,1944711717.6104972,1923329645.8625827,30149.0,30814.5,30491.0,0,bbr2,bbr2,14439517284
40,15a1273a-9ce7-408a-a670-064b82235ec2,10.201.1.2,hostA,2021-06-28T21:17:18.951Z,1,3gbit,2910292519.66689,2877917264.579139,30164.5,31630.5,30675.0,0,bbr2,bbr2,21606140496
41,984ba6c6-873e-4b68-a840-9bd2c51ce09e,10.201.1.2,hostA,2021-06-28T21:18:32.010Z,1,4gbit,3877595240.245236,3834059458.986694,30195.0,31712.5,30810.5,0,bbr2,bbr2,28784485588
42,8a904702-4526-461e-a30a-eb5b8b7d7615,10.201.1.2,hostA,2021-06-28T21:19:45.076Z,1,5gbit,4834769151.528295,4788238902.599738,30498.0,31975.5,31088.5,0,bbr2,bbr2,35948129116
43,cd6e9099-da3e-4fd3-834a-6fd44f46bd4a,10.201.1.2,hostA,2021-06-28T21:20:58.120Z,1,6gbit,5792635242.09495,5745970744.046428,30191.5,31854.5,30997.5,0,bbr2,bbr2,43138205036
44,26be750b-2951-40d4-a666-cef9040eda3f,10.201.1.2,hostB,2021-06-28T21:22:13.042Z,1,1gbit,968490432.771887,951990119.2238833,50130.0,51480.5,50666.5,81,bbr2,bbr2,7151890268
45,5df16c88-62be-4782-ba04-cbcc2b3a32d7,10.201.1.2,hostB,2021-06-28T21:23:26.501Z,1,2gbit,1930217245.056663,1894586950.448571,50135.0,52312.5,50752.5,159,bbr2,bbr2,14233185352
46,4634d678-32a5-4791-a64c-ddc8758173b2,10.201.1.2,hostB,2021-06-28T21:24:39.970Z,1,3gbit,2845600861.4774585,2803779592.598587,50129.5,52254.5,50856.5,247,bbr2,bbr2,21063596412
47,df58d09d-8de1-4aea-aedb-e8b155a61d4d,10.201.1.2,hostB,2021-06-28T21:25:53.488Z,1,4gbit,3724475651.143828,3671888931.214148,50148.5,52077.5,50896.0,319,bbr2,bbr2,27585387804
48,761454d8-2bb8-4d04-903a-186ffe4c10fe,10.201.1.2,hostB,2021-06-28T21:27:06.986Z,1,5gbit,4587121082.378467,4545706600.5375,50141.5,52506.0,51201.5,360,bbr2,bbr2,34149939036
49,afb87869-1fd8-4b12-9d00-924a569ac854,10.201.1.2,hostB,2021-06-28T21:28:20.443Z,1,6gbit,5477012689.618528,5437102384.414147,50154.5,52494.5,51292.0,428,bbr2,bbr2,40846747508
50,10d6f160-9cce-4082-ac0e-25d88435b048,10.201.1.2,hostC,2021-06-28T21:29:34.774Z,1,1gbit,971986858.0188367,964681025.0308415,20163.0,20964.0,20749.0,0,bbr2,bbr2,7240019120
51,d2607e64-1f2c-47ef-af45-caf72286bc5a,10.201.1.2,hostC,2021-06-28T21:30:47.604Z,1,2gbit,1939479463.4885721,1925051244.0790114,20135.0,20877.0,20491.0,0,bbr2,bbr2,14447615224
52,17d2a28e-6c0a-4230-bc26-2d9ac896f9e6,10.201.1.2,hostC,2021-06-28T21:32:00.456Z,1,3gbit,2914121172.991965,2892447779.7347536,20204.5,20941.0,20772.0,0,bbr2,bbr2,21707995580
53,1b3b7367-3454-40bf-aac2-2ffdda009d5a,10.201.1.2,hostC,2021-06-28T21:33:13.316Z,1,4gbit,3881089648.8319626,3852088539.590293,20187.5,21047.5,20801.5,0,bbr2,bbr2,28910201840
54,f6d7e44f-76b9-4d7f-9ac1-74b65ff5c43b,10.201.1.2,hostC,2021-06-28T21:34:26.169Z,1,5gbit,4846650414.515976,4810335839.931436,20200.5,21285.0,21041.0,0,bbr2,bbr2,36102094204
55,b9b511f1-248f-466d-a2e3-445946005d25,10.201.1.2,hostC,2021-06-28T21:35:39.025Z,1,6gbit,5814820520.122183,5771162576.703056,20176.0,21257.5,21047.0,0,bbr2,bbr2,43313031060
56,66a3a3d2-9e4f-4df6-a15b-0316040c23bc,10.201.1.2,hostA,2021-06-28T21:36:53.734Z,4,1gbit,972233463.5942924,961403712.8322507,30184.5,30995.5,30758.0,0,bbr2,bbr2,7217819132
57,4a7e92f9-c4fb-45f3-8b86-d95e462095ee,10.201.1.2,hostA,2021-06-28T21:38:07.011Z,4,2gbit,1948557461.9670658,1926985283.2286189,30213.5,30891.0,30607.0,0,bbr2,bbr2,14466951852
58,52dc242f-9c5e-46ad-a928-85a3393f0b07,10.201.1.2,hostA,2021-06-28T21:39:20.300Z,4,3gbit,2364493188.1497273,2335545302.50492,30238.5,31423.0,30965.5,0,bbr2,bbr2,17534612588
59,190f5c5a-342a-457e-9367-d55b226181a1,10.201.1.2,hostA,2021-06-28T21:40:33.584Z,4,4gbit,2611088215.080496,2571978214.454426,30396.0,31399.0,31154.0,0,bbr2,bbr2,19309895788
60,21ba6003-4440-4cc3-9939-059b1ddac613,10.201.1.2,hostA,2021-06-28T21:41:46.882Z,4,5gbit,2445590408.936333,2416181835.212571,30217.0,31789.5,31136.0,0,bbr2,bbr2,18140231124
61,cb961fcd-60e5-45d8-a949-5b608d71b7ed,10.201.1.2,hostA,2021-06-28T21:43:00.169Z,4,6gbit,2280956694.3186336,2242525499.47194,30653.0,31796.0,31276.5,0,bbr2,bbr2,16836400148
62,aa6b8fa0-71b5-45e0-9387-c95bfb3dbb97,10.201.1.2,hostB,2021-06-28T21:44:15.451Z,4,1gbit,970597061.6143585,952157597.9006896,50170.5,52831.5,50642.0,85,bbr2,bbr2,7153142988
63,c61da597-2183-4c5e-81ed-ca349830b561,10.201.1.2,hostB,2021-06-28T21:45:29.245Z,4,2gbit,1908713042.753624,1873282689.0609546,50142.0,51433.0,50696.5,181,bbr2,bbr2,14073168268
64,24c50992-c934-4751-9cca-ed6675a13a73,10.201.1.2,hostB,2021-06-28T21:46:43.042Z,4,3gbit,2468477098.585879,2422196568.418502,50147.0,51812.5,51065.0,193,bbr2,bbr2,18197435688
65,2baa70c4-b5d6-4682-af95-bf0a4db885c7,10.201.1.2,hostB,2021-06-28T21:47:56.826Z,4,4gbit,2608295127.645847,2566061497.669958,50162.0,52041.0,51321.0,263,bbr2,bbr2,19278225668
66,b1147fc9-4825-4d75-bf5a-602a5a24e0be,10.201.1.2,hostB,2021-06-28T21:49:10.636Z,4,5gbit,3014614923.3134475,2970173859.257679,50141.0,52200.0,51343.0,252,bbr2,bbr2,22314598396
67,dc30d56a-fac1-465e-ab87-55053e8f31e2,10.201.1.2,hostB,2021-06-28T21:50:24.435Z,4,6gbit,2308398445.270391,2263194880.186178,50161.0,52218.5,51233.0,212,bbr2,bbr2,17002958220
68,e8e54987-2a2e-48a7-8b80-dc79da97152f,10.201.1.2,hostC,2021-06-28T21:51:38.841Z,4,1gbit,972525407.0393108,965132992.1421112,20177.5,21015.0,20775.0,0,bbr2,bbr2,7243374620
69,a3acc420-bdd7-4c20-89f8-7354dab4cfbb,10.201.1.2,hostC,2021-06-28T21:52:51.836Z,4,2gbit,1941758307.5860028,1927249204.045523,20183.5,20886.5,20719.0,0,bbr2,bbr2,14464124284
70,43b9764e-9da4-4220-9295-1346cc21c86b,10.201.1.2,hostC,2021-06-28T21:54:04.818Z,4,3gbit,2569156003.6378613,2551623328.0721326,20240.5,21201.5,20981.5,0,bbr2,bbr2,19150591396
71,a863c7d7-331c-441d-9179-8b9cf2cdfc8a,10.201.1.2,hostC,2021-06-28T21:55:17.810Z,4,4gbit,2891742310.582239,2870525624.9715824,20475.5,21328.0,21136.0,0,bbr2,bbr2,21544130856
72,247c4b03-41d0-4360-9e25-eada6a2bb4e1,10.201.1.2,hostC,2021-06-28T21:56:30.798Z,4,5gbit,2680629628.8148212,2658751479.6216574,20250.5,21300.5,21089.5,0,bbr2,bbr2,19954831836
73,2e01ab26-4733-4a53-85d3-4d45d059db74,10.201.1.2,hostC,2021-06-28T21:57:43.798Z,4,6gbit,2051859918.7610934,2030815159.9840865,20207.5,21386.0,21128.5,0,bbr2,bbr2,15241839704
